iter	RMSE
0	622345.5178
1	604593.4434
2	588143.3522
3	572773.5483
4	557692.3021
5	543096.0914
6	529000.7736
7	516007.0138
8	504097.8612
9	493186.7417
10	482621.3206
11	473097.8982
12	464681.3481
13	455541.589
14	447395.3408
15	440321.843
16	434192.0219
17	426998.8407
18	419859.9238
19	414004.3138
20	407912.8168
21	402679.8867
22	397036.8234
23	391788.6597
24	387154.1553
25	382873.9307
26	378647.6689
27	374494.8694
28	370628.8129
29	366337.5908
30	362664.1634
31	359592.9931
32	355901.2143
33	352572.7975
34	349982.051
35	347258.114
36	344633.5665
37	341743.4578
38	339054.6074
39	337169.3284
40	334990.5469
41	332671.6598
42	330917.7706
43	329194.9813
44	327260.7616
45	325531.7265
46	323565.6544
47	321697.3644
48	320156.7766
49	318385.2443
50	316720.4746
51	315156.3905
52	313966.8872
53	312650.4162
54	311284.6663
55	310247.157
56	309158.2238
57	308089.931
58	307016.2952
59	305925.1679
60	304435.2459
61	303489.2214
62	302476.7985
63	301619.561
64	300739.1221
65	299729.6587
66	298810.4498
67	298033.2122
68	296448.2851
69	295622.7796
70	294476.3087
71	293738.2147
72	292570.5852
73	291916.8802
74	291116.3388
75	290550.7583
76	289943.8406
77	289439.6344
78	288486.0756
79	287754.7258
80	287177.33
81	286193.1227
82	285395.7727
83	285028.7366
84	284646.542
85	283743.1485
86	283003.5164
87	282715.0162
88	281990.9949
89	281517.948
90	280952.0289
91	280489.3866
92	280107.6195
93	279787.7965
94	279620.7993
95	278965.8923
96	278490.5109
97	277779.2237
98	277283.5435
99	276678.588
100	275763.4872
101	275649.7336
102	275177.9974
103	274689.1696
104	274192.8158
105	274084.3402
106	273596.0782
107	273159.1119
108	272759.8334
109	272660.4965
110	272217.1741
111	271949.2744
112	271465.5181
113	271221.689
114	270433.8948
115	269951.4969
116	269652.4361
117	269127.9153
118	269061.4681
119	268865.6071
120	268511.2382
121	268349.3192
122	267936.8059
123	267880.9869
124	267663.92
125	267249.3756
126	266728.3608
127	266694.8843
128	266400.3234
129	265902.7124
130	265278.7454
131	264712.3709
132	264434.3793
133	264046.4397
134	263671.1135
135	263413.8395
136	262874.4375
137	262562.5073
138	262324.556
139	262031.6001
140	261760.7442
141	261608.0934
142	261414.7207
143	260995.3471
144	260706.6055
145	260388.2858
146	260132.1852
147	260044.1795
148	259618.5894
149	259401.8043
150	259236.188
151	259011.7708
152	258622.4602
153	258341.7295
154	258147.5715
155	257884.5788
156	257574.0271
157	256997.4705
158	256876.3107
159	256530.3333
160	256293.4184
161	256173.7505
162	256027.1327
163	255921.9768
164	255565.0362
165	255293.2393
166	254876.9617
167	254786.5998
168	254435.7866
169	254123.7505
170	254022.9537
171	253766.7569
172	253318.8537
173	253072.1094
174	253005.7118
175	252595.2986
176	252185.3641
177	251990.9293
178	251769.1306
179	251624.5959
180	251275.6368
181	250783.0105
182	250545.4085
183	250232.2268
184	249979.3007
185	249653.928
186	249350.2631
187	249038.6428
188	248729.5572
189	248455.7151
190	248117.6396
191	247674.2946
192	247473.828
193	247163.6228
194	246966.5055
195	246674.8737
196	246351.725
197	246300.5226
198	245852.3563
199	245505.3717
200	245309.8118
201	245101.7295
202	244610.5083
203	244508.2812
204	244255.2862
205	243977.5603
206	243707.8266
207	243648.8011
208	243234.3888
209	243054.824
210	242731.1263
211	242476.2384
212	242409.4713
213	242034.8385
214	241860.7511
215	241655.1369
216	241613.8381
217	241359.5829
218	241033.7196
219	240637.6555
220	240366.643
221	240085.9341
222	239925.708
223	239674.0454
224	239456.8097
225	239256.516
226	239152.7665
227	238795.1009
228	238554.0275
229	238370.1081
230	238214.9305
231	237900.4125
232	237863.3106
233	237730.8979
234	237590.5224
235	237297.3088
