iter	Passed	Remaining
0	3	1848
1	7	1846
2	10	1724
3	13	1649
4	16	1598
5	18	1535
6	21	1489
7	23	1445
8	25	1393
9	27	1369
10	30	1359
11	33	1382
12	36	1364
13	38	1345
14	41	1333
15	44	1335
16	46	1321
17	49	1335
18	52	1341
19	56	1350
20	59	1354
21	62	1359
22	65	1350
23	67	1341
24	70	1335
25	73	1341
26	76	1343
27	79	1335
28	81	1329
29	85	1333
30	87	1323
31	90	1322
32	93	1319
33	95	1313
34	98	1304
35	100	1297
36	103	1289
37	105	1285
38	108	1277
39	110	1272
40	112	1263
41	116	1268
42	119	1267
43	121	1262
44	124	1258
45	127	1257
46	130	1254
47	133	1253
48	136	1252
49	138	1247
50	141	1245
51	143	1239
52	146	1236
53	149	1232
54	152	1236
55	155	1231
56	157	1227
57	160	1224
58	163	1222
59	166	1220
60	169	1217
61	171	1213
62	174	1212
63	177	1210
64	180	1207
65	183	1204
66	185	1201
67	188	1197
68	191	1195
69	195	1199
70	197	1193
71	200	1194
72	203	1190
73	206	1188
74	209	1184
75	211	1180
76	214	1175
77	217	1174
78	219	1171
79	223	1171
80	226	1171
81	229	1169
82	231	1165
83	234	1163
84	238	1163
85	241	1161
86	244	1160
87	246	1156
88	249	1151
89	252	1149
90	255	1146
91	257	1143
92	260	1141
93	263	1136
94	265	1132
95	268	1128
96	271	1127
97	274	1125
98	277	1122
99	280	1120
100	283	1120
101	286	1118
102	289	1116
103	292	1113
104	295	1110
105	297	1107
106	300	1104
107	303	1102
108	305	1097
109	309	1096
110	311	1093
111	314	1090
112	317	1087
113	320	1083
114	322	1079
115	325	1076
116	327	1072
117	330	1070
118	333	1067
119	336	1064
120	338	1061
121	342	1059
122	344	1056
123	347	1054
124	350	1051
125	353	1048
126	356	1046
127	358	1042
128	361	1038
129	363	1035
130	366	1031
131	369	1029
132	372	1027
133	375	1024
134	377	1020
135	380	1019
136	383	1016
137	386	1013
138	388	1010
139	391	1006
140	394	1005
141	397	1002
142	401	1001
143	404	999
144	406	996
145	409	993
146	412	990
147	415	988
148	418	986
149	422	985
150	424	981
151	427	979
152	431	977
153	434	975
154	437	973
155	439	969
156	442	966
157	444	963
158	447	960
159	450	956
160	453	954
161	456	951
162	458	947
163	461	944
164	463	942
165	466	938
166	469	935
167	471	932
168	475	931
169	478	928
170	481	927
171	484	923
172	486	920
173	490	918
174	493	915
175	496	913
176	499	912
177	503	910
178	507	909
179	509	906
180	512	903
181	515	900
182	519	900
183	522	897
184	525	894
185	529	893
186	531	890
187	534	887
188	537	884
189	541	882
190	543	879
191	546	876
192	548	873
193	552	871
194	555	868
195	557	865
196	560	862
197	563	859
198	566	856
199	569	854
200	587	874
201	595	877
202	600	878
203	606	879
204	609	876
205	612	873
206	615	871
207	618	868
208	622	866
209	625	863
210	627	859
211	630	856
212	633	853
213	636	850
214	639	847
215	642	844
216	644	840
217	647	837
218	651	835
219	654	832
220	657	829
221	660	826
222	662	823
223	665	819
224	668	817
225	671	813
226	674	811
227	677	807
228	680	804
229	682	801
230	686	798
231	688	795
232	691	792
233	694	789
234	697	786
235	699	782
236	703	780
237	706	777
238	709	774
239	711	771
240	714	767
241	717	765
242	720	762
243	723	758
244	726	756
245	730	753
246	733	751
247	736	748
248	738	744
249	741	741
250	743	737
251	747	735
252	749	731
253	752	728
254	755	725
255	757	721
256	760	718
257	762	715
258	765	712
259	768	709
260	771	706
261	775	704
262	777	701
263	781	698
264	784	695
265	787	692
266	790	689
267	793	686
268	795	683
269	798	680
270	801	677
271	805	674
272	808	671
273	810	668
274	813	665
275	816	662
276	820	660
277	822	657
278	825	654
279	828	651
280	832	649
281	835	646
282	839	643
283	843	641
284	845	638
285	849	635
286	852	632
287	854	629
288	857	626
289	861	623
290	863	620
291	866	617
292	870	614
293	873	612
294	877	609
295	880	606
296	883	604
297	886	600
298	889	598
299	892	595
300	895	592
301	899	589
302	901	586
303	905	583
304	908	580
305	911	577
306	914	574
307	917	571
308	920	569
309	923	566
310	926	563
311	929	560
312	932	557
313	935	554
314	938	551
315	941	548
316	944	545
317	946	541
318	950	539
319	953	536
320	956	533
321	959	530
322	962	527
323	966	525
324	970	522
325	972	519
326	975	516
327	978	513
328	982	510
329	985	507
330	987	504
331	990	501
332	994	498
333	997	495
334	1000	492
335	1003	489
336	1006	486
337	1009	483
338	1012	480
339	1015	477
340	1018	474
341	1021	471
342	1024	468
343	1027	465
344	1030	462
345	1033	460
346	1037	457
347	1040	454
348	1043	451
349	1046	448
350	1049	445
351	1052	442
352	1055	439
353	1059	436
354	1062	433
355	1065	431
356	1069	428
357	1072	425
358	1074	422
359	1077	419
360	1081	416
361	1084	413
362	1086	410
363	1090	407
364	1092	404
365	1095	401
366	1098	398
367	1102	395
368	1105	392
369	1108	389
370	1111	386
371	1115	383
372	1118	380
373	1120	377
374	1123	374
375	1126	371
376	1130	368
377	1133	365
378	1136	362
379	1140	360
380	1143	357
381	1146	354
382	1150	351
383	1153	348
384	1156	345
385	1159	342
386	1162	339
387	1165	336
388	1168	333
389	1171	330
390	1174	327
391	1177	324
392	1180	321
393	1182	318
394	1185	315
395	1188	312
396	1191	309
397	1194	306
398	1198	303
399	1201	300
400	1204	297
401	1207	294
402	1209	291
403	1213	288
404	1216	285
405	1219	282
406	1222	279
407	1225	276
408	1228	273
409	1231	270
410	1234	267
411	1237	264
412	1240	261
413	1243	258
414	1246	255
415	1249	252
416	1252	249
417	1255	246
418	1258	243
419	1261	240
420	1264	237
421	1267	234
422	1269	231
423	1272	228
424	1275	225
425	1278	222
426	1281	219
427	1284	216
428	1287	213
429	1289	209
430	1293	207
431	1296	204
432	1299	201
433	1302	198
434	1304	194
435	1307	191
436	1310	188
437	1312	185
438	1315	182
439	1318	179
440	1321	176
441	1323	173
442	1326	170
443	1329	167
444	1332	164
445	1335	161
446	1338	158
447	1341	155
448	1344	152
449	1348	149
450	1351	146
451	1353	143
452	1357	140
453	1361	137
454	1365	135
455	1369	132
456	1372	129
457	1375	126
458	1378	123
459	1382	120
460	1385	117
461	1388	114
462	1391	111
463	1394	108
464	1397	105
465	1400	102
466	1403	99
467	1405	96
468	1408	93
469	1411	90
470	1414	87
471	1417	84
472	1420	81
473	1423	78
474	1425	75
475	1428	72
476	1431	69
477	1434	66
478	1438	63
479	1441	60
480	1444	57
481	1447	54
482	1450	51
483	1453	48
484	1456	45
485	1459	42
486	1462	39
487	1464	36
488	1467	33
489	1471	30
490	1473	27
491	1476	24
492	1479	21
493	1481	17
494	1484	14
495	1487	11
496	1490	8
497	1493	5
498	1496	2
499	1498	0
