iter	Passed	Remaining
0	68	137547
1	81	81603
2	91	60890
3	102	50907
4	110	44232
5	119	39597
6	129	36874
7	137	34317
8	146	32367
9	155	30922
10	162	29468
11	171	28357
12	180	27612
13	194	27556
14	203	26868
15	210	26154
16	219	25654
17	228	25116
18	236	24689
19	247	24532
20	257	24230
21	265	23908
22	276	23745
23	287	23687
24	297	23492
25	308	23435
26	328	24006
27	336	23712
28	345	23501
29	354	23286
30	364	23127
31	373	22953
32	382	22801
33	390	22570
34	398	22391
35	408	22300
36	417	22156
37	426	22039
38	435	21903
39	444	21787
40	454	21700
41	464	21664
42	473	21551
43	482	21430
44	491	21332
45	500	21260
46	510	21229
47	520	21167
48	529	21084
49	547	21368
50	567	21681
51	576	21603
52	595	21862
53	603	21741
54	612	21660
55	621	21571
56	630	21503
57	639	21427
58	648	21338
59	657	21273
60	665	21161
61	685	21420
62	694	21338
63	702	21263
64	711	21174
65	720	21122
66	729	21058
67	739	21007
68	747	20923
69	756	20864
70	766	20824
71	775	20764
72	782	20650
73	791	20611
74	801	20576
75	811	20537
76	819	20461
77	828	20413
78	839	20409
79	848	20372
80	858	20345
81	867	20297
82	877	20256
83	885	20203
84	896	20199
85	905	20153
86	912	20062
87	920	19996
88	929	19955
89	939	19940
90	949	19918
91	958	19888
92	968	19856
93	977	19825
94	982	19706
95	991	19671
96	1000	19634
97	1010	19614
98	1019	19568
99	1026	19509
100	1046	19672
101	1050	19552
102	1058	19488
103	1065	19418
104	1077	19443
105	1082	19347
106	1091	19315
107	1100	19272
108	1109	19252
109	1120	19259
110	1129	19221
111	1139	19206
112	1147	19160
113	1156	19130
114	1165	19106
115	1175	19084
116	1183	19051
117	1202	19177
118	1211	19143
119	1220	19125
120	1230	19101
121	1240	19092
122	1250	19076
123	1258	19035
124	1268	19029
125	1277	19005
126	1286	18972
127	1291	18887
128	1300	18858
129	1309	18834
130	1318	18805
131	1326	18772
132	1336	18762
133	1347	18761
134	1356	18744
135	1365	18711
136	1374	18695
137	1384	18683
138	1393	18663
139	1403	18649
140	1412	18626
141	1422	18615
142	1432	18603
143	1441	18573
144	1450	18550
145	1459	18530
146	1467	18503
147	1478	18503
148	1488	18487
149	1497	18470
150	1507	18462
151	1518	18455
152	1527	18435
153	1536	18422
154	1545	18401
155	1556	18396
156	1567	18396
157	1578	18400
158	1590	18411
159	1599	18395
160	1610	18395
161	1619	18377
162	1629	18365
163	1640	18369
164	1650	18357
165	1661	18355
166	1671	18345
167	1682	18343
168	1692	18334
169	1700	18303
170	1710	18292
171	1719	18270
172	1727	18245
173	1737	18232
174	1747	18226
175	1756	18206
176	1765	18184
177	1774	18162
178	1783	18142
179	1792	18127
180	1801	18103
181	1810	18087
182	1819	18064
183	1829	18051
184	1837	18030
185	1846	18012
186	1854	17979
187	1864	17967
188	1873	17948
189	1882	17932
190	1892	17926
191	1902	17912
192	1910	17886
193	1919	17867
194	1928	17850
195	1938	17840
196	1946	17811
197	1953	17782
198	1963	17768
199	1972	17756
200	1981	17738
201	1992	17735
202	2002	17725
203	2011	17709
204	2021	17702
205	2031	17689
206	2040	17672
207	2049	17654
208	2058	17642
209	2067	17624
210	2076	17609
211	2086	17595
212	2096	17585
213	2106	17577
214	2115	17561
215	2124	17545
216	2134	17540
217	2143	17523
218	2153	17510
219	2162	17499
220	2171	17480
221	2180	17467
222	2200	17534
223	2210	17525
224	2218	17505
225	2239	17577
226	2265	17698
227	2274	17677
228	2283	17656
229	2290	17626
230	2312	17707
231	2320	17686
232	2331	17679
233	2340	17665
234	2349	17643
235	2359	17633
236	2369	17624
237	2380	17621
238	2389	17608
239	2398	17592
240	2407	17571
241	2417	17561
242	2427	17553
243	2438	17551
244	2448	17539
245	2456	17518
246	2467	17509
247	2476	17493
248	2486	17486
249	2497	17480
250	2506	17467
251	2516	17457
252	2525	17442
253	2537	17440
254	2546	17423
255	2556	17414
256	2565	17400
257	2575	17390
258	2584	17369
259	2593	17357
260	2602	17342
261	2612	17327
262	2621	17313
263	2630	17296
264	2639	17283
265	2649	17274
266	2658	17256
267	2668	17243
268	2677	17231
269	2687	17217
270	2694	17191
271	2703	17173
272	2711	17155
273	2721	17144
274	2730	17127
275	2740	17115
276	2750	17107
277	2759	17091
278	2768	17075
279	2777	17060
280	2786	17048
281	2796	17035
282	2804	17017
283	2814	17007
284	2823	16990
285	2832	16975
286	2841	16960
287	2850	16945
288	2861	16943
289	2870	16925
290	2880	16919
291	2889	16902
292	2899	16892
293	2908	16879
294	2918	16865
295	2927	16854
296	2935	16830
297	2944	16819
298	2953	16802
299	2962	16785
300	2970	16768
301	2989	16809
302	2999	16796
303	3007	16778
304	3015	16760
305	3026	16752
306	3046	16798
307	3053	16777
308	3062	16762
309	3073	16756
310	3082	16741
311	3091	16727
312	3101	16714
313	3111	16704
314	3122	16703
315	3132	16695
316	3142	16682
317	3152	16672
318	3160	16655
319	3170	16645
320	3176	16614
321	3185	16601
322	3194	16585
323	3203	16571
324	3212	16555
325	3220	16538
326	3229	16524
327	3239	16513
328	3249	16502
329	3259	16493
330	3268	16480
331	3278	16471
332	3286	16450
333	3294	16435
334	3304	16425
335	3313	16409
336	3322	16395
337	3331	16383
338	3341	16370
339	3350	16359
340	3359	16345
341	3379	16385
342	3388	16368
343	3397	16355
344	3407	16348
345	3418	16339
346	3427	16329
347	3438	16323
348	3447	16310
349	3453	16282
350	3462	16267
351	3471	16255
352	3480	16238
353	3489	16226
354	3498	16210
355	3507	16196
356	3515	16179
357	3525	16171
358	3535	16162
359	3544	16147
360	3553	16131
361	3563	16122
362	3572	16112
363	3581	16098
364	3591	16087
365	3600	16073
366	3610	16065
367	3620	16055
368	3629	16044
369	3636	16019
370	3645	16006
371	3649	15969
372	3658	15959
373	3668	15949
374	3678	15941
375	3688	15931
376	3698	15922
377	3708	15914
378	3718	15904
379	3728	15894
380	3738	15884
381	3747	15871
382	3755	15856
383	3764	15843
384	3776	15840
385	3785	15827
386	3793	15813
387	3802	15797
388	3812	15787
389	3820	15769
390	3828	15756
391	3838	15745
392	3846	15729
393	3856	15721
394	3866	15712
395	3877	15704
396	3886	15691
397	3896	15682
398	3905	15672
399	3915	15662
400	3925	15653
401	3935	15645
402	3944	15631
403	3953	15617
404	3962	15606
405	3971	15591
406	3980	15579
407	3989	15567
408	3999	15559
409	4010	15552
410	4018	15538
411	4028	15525
412	4037	15515
413	4046	15502
414	4056	15492
415	4066	15484
416	4075	15470
417	4085	15460
418	4095	15453
419	4105	15446
420	4114	15433
421	4124	15423
422	4134	15412
423	4143	15402
424	4163	15430
425	4172	15417
426	4182	15406
427	4192	15397
428	4201	15386
429	4211	15377
430	4221	15367
431	4229	15353
432	4239	15343
433	4249	15332
434	4258	15320
435	4268	15310
436	4277	15299
437	4288	15293
438	4299	15287
439	4309	15279
440	4320	15273
441	4328	15256
442	4337	15243
443	4346	15230
444	4357	15227
445	4367	15218
446	4377	15208
447	4386	15195
448	4395	15183
449	4405	15172
450	4414	15162
451	4422	15146
452	4429	15127
453	4439	15118
454	4449	15107
455	4458	15096
456	4468	15086
457	4477	15075
458	4486	15062
459	4496	15053
460	4506	15043
461	4515	15031
462	4523	15014
463	4530	14998
464	4539	14984
465	4548	14972
466	4556	14958
467	4565	14946
468	4575	14935
469	4584	14924
470	4593	14912
471	4603	14903
472	4611	14888
473	4621	14878
474	4631	14868
475	4640	14856
476	4650	14849
477	4660	14837
478	4670	14830
479	4679	14818
480	4689	14809
481	4709	14833
482	4730	14856
483	4737	14839
484	4747	14828
485	4758	14823
486	4768	14815
487	4778	14806
488	4787	14793
489	4797	14784
490	4806	14773
491	4816	14761
492	4824	14748
493	4833	14736
494	4843	14727
495	4852	14714
496	4861	14701
497	4870	14688
498	4879	14677
499	4888	14664
500	4897	14651
501	4905	14639
502	4914	14625
503	4923	14615
504	4934	14608
505	4944	14597
506	4952	14582
507	4962	14574
508	4972	14564
509	4980	14550
510	4990	14541
511	5009	14559
512	5018	14546
513	5028	14536
514	5036	14524
515	5057	14545
516	5065	14530
517	5074	14517
518	5083	14506
519	5092	14494
520	5100	14478
521	5108	14464
522	5118	14455
523	5127	14444
524	5138	14435
525	5147	14425
526	5157	14414
527	5166	14403
528	5176	14394
529	5186	14384
530	5195	14372
531	5204	14361
532	5213	14350
533	5223	14339
534	5233	14329
535	5244	14323
536	5254	14315
537	5263	14304
538	5273	14293
539	5283	14284
540	5293	14275
541	5302	14263
542	5310	14249
543	5320	14240
544	5329	14229
545	5340	14221
546	5349	14208
547	5358	14199
548	5369	14190
549	5379	14182
550	5388	14170
551	5397	14159
552	5406	14147
553	5415	14134
554	5424	14124
555	5433	14110
556	5442	14098
557	5450	14084
558	5459	14073
559	5470	14067
560	5481	14060
561	5491	14051
562	5499	14036
563	5508	14026
564	5517	14013
565	5525	13998
566	5535	13991
567	5545	13981
568	5555	13971
569	5565	13962
570	5574	13951
571	5584	13942
572	5595	13934
573	5604	13924
574	5613	13911
575	5622	13900
576	5632	13891
577	5642	13881
578	5651	13869
579	5660	13858
580	5669	13846
581	5679	13837
582	5688	13825
583	5697	13814
584	5706	13803
585	5714	13787
586	5723	13777
587	5734	13769
588	5742	13756
589	5750	13743
590	5760	13733
591	5769	13723
592	5779	13713
593	5788	13702
594	5798	13693
595	5808	13683
596	5817	13672
597	5827	13661
598	5836	13651
599	5844	13637
600	5854	13628
601	5865	13621
602	5875	13611
603	5884	13600
604	5894	13590
605	5903	13580
606	5914	13572
607	5924	13563
608	5934	13555
609	5943	13542
610	5952	13532
611	5960	13519
612	5970	13508
613	5979	13498
614	5989	13488
615	5998	13476
616	6007	13464
617	6017	13456
618	6027	13447
619	6035	13433
620	6045	13424
621	6054	13413
622	6063	13402
623	6073	13392
